p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
1.42478195727843e-43	1.39318179190856	0.624	0.374	3.74404202733626e-39	telencephalon	rnf165a	1.66666666666667
1.80906533839832e-43	3.3521717406316	0.103	0.013	4.75386189624311e-39	telencephalon	adgrb1a	7.42857142857143
3.70575978649331e-43	4.54865616641297	0.05	0.002	9.73799556694713e-39	telencephalon	CU571079.1	17
9.38940878176978e-43	1.96942345230127	0.227	0.061	2.46734883967346e-38	telencephalon	si:ch211-263k4.2.1	3.67741935483871
1.42951700501699e-42	2.73905389314661	0.12	0.018	3.75648478578364e-38	telencephalon	scrt2	6.36842105263158
2.36991650730906e-42	3.94208059033406	0.105	0.014	6.22766659790674e-38	telencephalon	cbfa2t3	7.06666666666667
1.35627712611139e-41	1.66117801743437	0.51	0.271	3.5640250319955e-37	telencephalon	pag1	1.87867647058824
1.81906087842099e-41	1.00081776441405	0.791	0.623	4.78012817631467e-37	telencephalon	ssbp4	1.26923076923077
2.25006144896537e-41	2.79495400618053	0.138	0.025	5.91271147559121e-37	telencephalon	dnah11	5.34615384615385
4.52018964269646e-41	1.90231152786963	0.298	0.102	1.18781543430778e-36	telencephalon	CU459056.1	2.90291262135922
5.83063500446629e-41	1.96171928939027	0.244	0.072	1.53217426647365e-36	telencephalon	C11H3orf14	3.35616438356164
3.84885286893176e-40	1.65090050254317	0.471	0.242	1.01140155689789e-35	telencephalon	nedd9	1.94238683127572
1.40743104665455e-39	2.34337409855335	0.171	0.039	3.69844730439882e-35	telencephalon	rspo3	4.3
7.41084593920919e-39	2.14364575654674	0.254	0.08	1.94742209590539e-34	telencephalon	lhx9	3.14814814814815
1.79374599254903e-38	3.8809645844167	0.062	0.005	4.71360571922033e-34	telencephalon	uncx	10.5
6.29086102079508e-38	2.94653935466945	0.116	0.019	1.65311245904453e-33	telencephalon	mpp2a	5.85
1.09300708643569e-37	2.46666950908484	0.184	0.047	2.87220402173571e-33	telencephalon	tp53inp1	3.85416666666667
3.12049411474738e-37	1.3794678796912	0.442	0.202	8.20003443473317e-33	telencephalon	cdh7a	2.18226600985222
3.44657634044802e-37	1.01172608055099	0.764	0.539	9.0569133074293e-33	telencephalon	ptprn2	1.41666666666667
3.49864789931765e-37	2.37114155479369	0.143	0.029	9.19374694982692e-33	telencephalon	im:7142702	4.8
1.04927104301234e-36	1.3184171013921	0.562	0.315	2.75727444682783e-32	telencephalon	col14a1a	1.78164556962025
1.40958433849951e-36	1.36785270407255	0.5	0.262	3.70410572470901e-32	telencephalon	robo3	1.90494296577947
1.90140880819462e-36	1.87389426406983	0.37	0.161	4.99652206617382e-32	telencephalon	igdcc3	2.29012345679012
5.12234156572128e-36	1.32723657357594	0.548	0.323	1.34604891664024e-31	telencephalon	tns1b	1.69444444444444
8.86264103678612e-36	-1.6165409025422	0.271	0.551	2.32892481164666e-31	telencephalon	rfx4	0.492753623188406
1.26651445441117e-35	3.38105986204709	0.074	0.008	3.32814668330167e-31	telencephalon	CR925802.1	8.33333333333333
2.21082665516855e-35	2.91185717644606	0.132	0.027	5.80961028445191e-31	telencephalon	fgf13a	4.75
