motif, score
"419",0.078676385514373
"425",0.127627170271094
"343",0.135686087530434
"431",0.128492242121455
"430",0.253908974345116
"424",0.262007234441765
"342",0.172200649529429
"418",0.083145784180347
"154",0.163576694724921
"168",0.228744329263531
"197",0.125805538907242
"183",0.112917232290785
"008",0.117619038556115
"222",0.186468646596589
"236",0.082556434870311
"226",0.136517734836993
"030",0.37054141061453
"024",0.074091644491908
"187",0.162771611447672
"144",0.132875945113417
"150",0.101606672612127
"178",0.091267842878121
"346",0.187756648696356
"420",0.206998152223272
"434",0.246082343031126
"352",0.812630959508498
"409",0.254811092592278
"435",0.215954515823088
"347",0.177154380088982
"421",0.349577840672818
"151",0.118948430341209
"145",0.108649125303855
"186",0.781533379434897
"031",0.427391035937626
"227",0.404396884178528
"225",0.151521086580876
"027",0.38786969113138
"033",0.139116518074161
"190",0.190258672630765
"184",0.595857822081242
"153",0.112832566886335
"147",0.356462998434498
"351",0.272376813803252
"437",0.126264128478479
"423",0.393213033403407
"345",0.310150734779769
"422",0.519926297264858
"344",0.376826651840525
"350",0.760966247547109
"436",0.122041903013208
"393",0.26082450873798
"146",0.235433336238073
"152",0.125071311985618
"185",0.385764812685176
"191",0.061363636363607
"218",0.353648757016206
"224",0.277885389221029
"294",0.110204432453015
"069",0.107260942299696
"041",0.37525767667333
"055",0.394733349583786
"109",0.161849536835
"135",0.127618115665482
"121",0.119453923971806
"445",0.146875676021084
"323",0.18247025534901
"444",0.187868134423262
"322",0.114728682170668
"336",0.058340953859314
"120",0.11245428488053
"108",0.29898173804692
"040",0.297658791602913
"068",0.126616180310962
"097",0.082514787895938
"083",0.123553139180683
"256",0.090322580645094
"242",0.119606394583379
"295",0.070232864022021
"297",0.083444642643367
"254",0.135185059234703
"095",0.078482236885864
"081",0.076119402985147
"056",0.384220089995276
"042",0.575235361959276
"320",0.278500507355021
"446",0.216296454465847
"334",0.151714140812495
"335",0.314631383006773
"137",0.092514188436754
"123",0.326222743252023
"043",0.462958747790913
"080",0.085462512480291
"094",0.498903429365421
"241",0.087912820827462
"255",0.123164686157717
"269",0.420884479982401
"296",0.089319283223709
"292",0.060951571496168
"251",0.482822001703652
"279",0.137591697978326
"090",0.274805860950381
"084",0.325510881177834
"053",0.175292611673873
"127",0.067573314814504
"443",0.652274857826309
"331",0.184186794921723
"319",0.069495791450409
"330",0.1110029211295
"442",0.307035656235693
"132",0.075318907407421
"126",0.370412327608376
"085",0.375080851959833
"091",0.086777253283652
"244",0.150377911249464
"287",0.12430926832689
"293",0.308074321517476
"246",0.366106387800061
"252",0.153456975642485
"093",0.42130276395483
"050",0.062252017828207
"078",0.483233295747706
"130",0.114222062428836
"124",0.067702289711778
"332",0.205973815022048
"441",0.348487335091594
"333",0.337892120549087
"119",0.350192506656956
"131",0.11010184420592
"079",0.132223483896496
"051",0.133677785849023
"045",0.087279020892533
